Notos Raw,my Acurite (kph),Converted,Rounded,Difference 
0,0,0,0,0
1,2,2.5734,3,-1
2,5,5.1468,5,0
3,6,7.7202,8,-2
4,10,10.2936,10,0
5,13,12.867,13,0
6,14,15.4404,15,-1
7,18,18.0138,18,0
8,19,20.5872,21,-2
9,23,23.1606,23,0
10,26,25.734,26,0
11,27,28.3074,28,-1
12,31,30.8808,31,0
13,32,33.4542,33,-1
14,35,36.0276,36,-1
15,39,38.601,39,0
16,40,41.1744,41,-1
17,43,43.7478,44,-1
18,45,46.3212,46,-1
19,48,48.8946,49,-1
20,51,51.468,51,0
21,53,54.0414,54,-1
22,56,56.6148,57,-1
23,58,59.1882,59,-1
24,61,61.7616,62,-1
25,64,64.335,64,0
26,66,66.9084,67,-1
27,69,69.4818,69,0
28,71,72.0552,72,-1
29,74,74.6286,75,-1
30,77,77.202,77,0
31,79,79.7754,80,-1
32,82,82.3488,82,0
33,85,84.9222,85,0
34,87,87.4956,87,0
35,90,90.069,90,0
36,92,92.6424,93,-1
37,95,95.2158,95,0
38,98,97.7892,98,0
39,100,100.3626,100,0
40,103,102.936,103,0
41,105,105.5094,106,-1
42,108,108.0828,108,0
43,111,110.6562,111,0
44,113,113.2296,113,0
45,116,115.803,116,0
46,117,118.3764,118,-1
47,121,120.9498,121,0
48,124,123.5232,124,0
49,126,126.0966,126,0
50,129,128.67,129,0
51,130,131.2434,131,-1
52,134,133.8168,134,0
53,137,136.3902,136,1
54,138,138.9636,139,-1
55,142,141.537,142,0
56,143,144.1104,144,-1
57,146,146.6838,147,-1
58,150,149.2572,149,1
59,151,151.8306,152,-1
60,154,154.404,154,0
61,156,156.9774,157,-1
62,159,159.5508,160,-1
63,163,162.1242,162,1
64,164,164.6976,165,-1
65,167,167.271,167,0
66,171,169.8444,170,1
67,172,172.4178,172,0
68,175,174.9912,175,0
69,177,177.5646,178,-1
70,180,180.138,180,0
71,183,182.7114,183,0
72,185,185.2848,185,0
73,188,187.8582,188,0
74,190,190.4316,190,0
75,193,193.005,193,0
76,196,195.5784,196,0
77,198,198.1518,198,0
78,201,200.7252,201,0
